,,,,,,
,,,,,,
,,,,,,
,Producto,Categoria,Proveedor,,Precio,Sotck Actual
,AGUA,Bebidas NO Alcoholicas,Postobon,,"$4,500",155
,GATORADE,Bebidas re-hidratantes/ Energizante,Postobon,,"$5,500",201
,GATORADE CERO,Bebidas re-hidratantes/ Energizante,Postobon,,"$5,500",67
,CORONITA,Bebidas ALCOHOLICAS,Postobon,,"$5,500",466
,SOL,Bebidas ALCOHOLICAS,Postobon,,"$6,500",204
,MILLER,Bebidas ALCOHOLICAS,Postobon,,"$5,500",124
,HEINEKEN,Bebidas ALCOHOLICAS,Postobon,,"$5,500",154
,STELLA,Bebidas ALCOHOLICAS,Postobon,,"$7,500",0
,TE HATSU,Bebidas NO Alcoholicas,Postobon,,"$6,500",15
,DE TODITO,Snacks,Frito lay - Margarita,,"$4,000",99
,GASEOSA,Bebidas NO Alcoholicas,Postobon,,"$3,500",33
,PAPA MARGARITA,Snacks,Frito lay - Margarita,,"$3,500",50
,CHICHARRON CARNUDO,Snacks,La Victoria,,"$4,500",0
,CHICHARRON PICANTE,Snacks,La Victoria,,"$4,000",0
,CEBOLLITAS,Snacks,La Victoria,,"$4,000",0
,CHEETOS NATURALES,Snacks,La Victoria,,"$3,500",37
,ELECTROLITE,Bebidas re-hidratantes/ Energizante,Farmasander,,"$10,500",145
,PAQ BOLAS WILSON,Bolas/Grips,WILSON,,"$35,500",4
,PAQ BOLAS NOX,Bolas/Grips,PADEL PROSHOP,,"$24,500",0
,GRIP,Bolas/Grips,PADEL PROSHOP,,"$15,500",32
,AGUA GAS CRISTAL,Bebidas NO Alcoholicas,Postobon,,"$4,500",117
,SODA BRETAÑA,Bebidas NO Alcoholicas,Postobon,,"$5,500",85
,3 CORDILLERA ROSADA,Bebidas ALCOHOLICAS,Postobon,,"$6,500",33
,CHOCLITOS,Snacks,Frito lay - Margarita,,"$3,500",24
,AGUARDIENTE ANTIOQUEÑO,Bebidas ALCOHOLICAS,JJJ,,"$85,500",2
,CHOCORRAMO,Snacks,Ramo,,"$4,500",0
,PONQUE GALA,Snacks,Ramo,,"$3,500",0
,ALQUILER PALA,Alquiler,Premier Padel,,"$10,500",NA
,AGUARDIANTE AMARILLO,Bebidas ALCOHOLICAS,JJJ,,"$95,500",2
,SERVICIO CAVA,Alquiler,Premier Padel,,"$7,500",NA
,BOLIQUESO,Snacks,Frito lay - Margarita,,"$3,500",16
,SODA HATSU,Bebidas NO Alcoholicas,Postobon,,"$5,500",28
,CHEETOS PICANTES,Snacks,Frito lay - Margarita,,"$3,500",59
,DORITOS,Snacks,Frito lay - Margarita,,"$3,500",24
,BRETAÑA CON ALCOHOL,Bebidas ALCOHOLICAS,Postobon,,"$7,500",0
,ANDINA REFAJO,Bebidas ALCOHOLICAS,Postobon,,"$5,500",57
,CHOKIS,Snacks,Frito lay - Margarita,,"$3,500",24
,CLUB COLOMBIA,Bebidas ALCOHOLICAS,PUNTO FRIO,,"$6,500",0
,AGUILA,Bebidas ALCOHOLICAS,PUNTO FRIO,,"$5,500",87
,COSTEÑITA,Bebidas ALCOHOLICAS,PUNTO FRIO,,"$4,500",149
,AGUILA LIGHT,Bebidas ALCOHOLICAS,PUNTO FRIO,,"$5,500",23
,GATORLIT,Bebidas NO Alcoholicas,Postobon,,"$8,000",56
,MODELO,Bebidas ALCOHOLICAS,Postobon,,"$8,000",219
,PROTECTORES,Bolas/Grips,PADEL PROSHOP,,"$18,000",1
